                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2024


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.1   23.2  14:22    8.5  23:57    3.3    0.0   0.00    4.9   34.9  14:03    351
 02    9.6   12.6  14:59    2.5  23:35    8.7    0.0   0.00    5.0   27.7  22:01    184
 03    5.7   13.4  13:42    0.3  07:59   12.7    0.0   0.00    3.9   23.8  14:15    175
 04    8.4   13.7  14:17    2.5  01:28    9.9    0.0   0.00    3.2   23.8  11:03     68
 05   13.0   16.9  11:49    9.5  00:24    5.4    0.0   0.31    3.7   22.0  12:30     67
 06   15.4   24.0  14:15    7.3  07:56    2.9    0.0   0.00    0.8   13.0  15:15     61
 07   17.4   23.7  12:42   13.9  03:26    1.0    0.0   0.00    3.3   20.2  12:01    105
 08   20.0   24.3  15:50   15.8  00:50    0.0    1.7   0.00    5.0   20.2  14:23     58
 09   20.3   26.1  14:27   12.5  23:40    0.0    2.0   0.00    9.4   42.1  13:17    339
 10   12.9   22.6  14:17    6.0  07:21    5.4    0.0   0.00    3.3   20.2  13:28    147
 11   13.3   18.3  15:12    8.8  03:44    5.0    0.0   0.00    3.6   22.0  11:17     96
 12   17.6   22.5  14:50   14.0  07:10    0.7    0.0   0.00    3.8   23.8  23:03     77
 13   24.2   28.4  14:09   19.3  23:18    0.0    5.9   0.00   10.4   43.9  13:20     20
 14   17.4   22.8  15:11   10.0  23:53    0.9    0.0   0.00    6.0   23.8  15:31    181
 15   12.5   21.4  15:22    4.5  07:39    5.8    0.0   0.00    2.4   18.4  14:08    192
 16   11.3   16.0  14:29    6.3  01:10    7.1    0.0   0.00    2.5   20.2  14:52    118
 17   10.6   20.2  13:54    1.2  07:24    7.7    0.0   0.00    2.7   23.8  12:06     70
 18   15.0   20.6  14:41   10.8  23:57    3.4    0.0   0.08    2.9   16.6  10:29     34
 19   12.2   18.3  14:29    4.5  23:02    6.1    0.0   0.02    5.4   38.5  06:51    208
 20    9.7   17.5  14:58    1.5  04:42    8.7    0.0   0.03    5.4   27.7  09:57    113
 21   15.1   17.8  22:27   12.4  05:59    3.3    0.0   3.89    2.8   20.2  03:53    105
 22   15.5   18.0  00:06   12.2  19:51    2.9    0.0   0.02    6.0   27.7  11:07    162
 23   10.4   14.9  14:45    4.7  23:12    8.0    0.0   0.89    9.9   46.1  02:48    239
 24    6.2   12.4  14:32    0.7  05:36   12.1    0.0   0.00    5.0   25.6  09:32    194
 25    6.7   10.8  14:45    2.2  07:29   11.7    0.0   0.00    1.6   13.0  11:00    115
 26    8.2   14.0  15:35    2.9  07:17   10.2    0.0   0.00   10.3   36.7  15:57    342
 27   11.3   17.6  14:29    6.8  06:04    7.1    0.0   0.00   10.4   31.3  13:03    341
 28    7.7   11.9  15:11    3.1  23:54   10.6    0.0   0.00   12.1   36.7  13:58    265
 29    3.8    9.7  15:07    0.0  08:06   14.6    0.0   0.00    8.0   34.9  12:57    291
 30    6.5   15.5  14:13   -1.6  06:19   11.8    0.0   0.00    7.4   36.7  13:53    356
---------------------------------------------------------------------------------------
      12.4   28.4     13   -1.6     30  186.7    9.6   5.24    5.4   46.1     23     10
