                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2024


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.6   21.7  16:23    4.2  08:08    7.7    0.0   0.00    5.9   23.8  00:11    358
 02   10.8   20.4  15:47    2.3  05:56    7.6    0.0   0.00    6.0   29.5  14:57    344
 03    6.1   11.5  01:04    0.9  23:25   12.2    0.0   0.00    5.4   31.3  10:51    240
 04    3.7   13.4  15:47   -3.7  07:16   14.6    0.0   0.00    3.6   29.5  12:46    265
 05    2.4   11.7  14:57   -5.0  04:37   15.9    0.0   0.00    4.5   31.3  12:58    285
 06    2.7   11.8  12:50   -6.2  08:04   15.6    0.0   0.00    1.8   14.8  12:08     97
 07    4.6   10.5  13:46   -0.5  23:03   13.7    0.0   0.00    5.5   29.5  13:47    205
 08    1.7    9.9  13:34   -4.0  23:54   16.7    0.0   0.00    2.7   23.8  14:38    172
 09    0.5   10.4  14:45   -6.8  05:14   17.8    0.0   0.00    1.8   20.2  14:54    146
 10    1.2   12.4  14:47   -7.0  07:58   17.1    0.0   0.00    0.7   11.2  13:35      8
 11    2.6   14.0  13:51   -5.4  08:11   15.7    0.0   0.00    1.4   18.4  15:13    266
 12    4.3   15.0  14:50   -4.5  06:22   14.0    0.0   0.00    1.9   18.4  14:25    350
 13    4.8   16.6  16:12   -3.6  07:39   13.5    0.0   0.00    0.9   13.0  12:07     14
 14    4.3   15.7  13:58   -4.4  08:15   14.1    0.0   0.00    1.0   16.6  12:29     85
 15    7.5   17.2  15:08   -1.9  04:42   10.9    0.0   0.00    2.6   22.0  13:04     71
 16   10.9   21.1  14:40    2.2  05:52    7.4    0.0   0.00    2.1   16.6  01:24     68
 17   11.9   20.0  13:44    5.1  05:03    6.4    0.0   0.00    2.1   16.6  13:09    356
 18   12.5   21.0  15:37    6.6  08:01    5.9    0.0   0.00    3.5   23.8  14:07     44
 19   10.0   14.2  15:46    6.1  01:22    8.3    0.0   0.00    8.8   36.7  10:25    150
 20    8.1   11.5  13:57    5.5  07:00   10.2    0.0   0.30    6.6   27.7  15:42    132
 21   10.7   12.4  14:31    9.5  00:15    7.6    0.0   0.00    4.4   22.0  15:19    212
 22   12.1   17.6  15:14    9.5  23:19    6.2    0.0   0.00    4.1   22.0  13:00    360
 23   11.7   15.4  17:05    7.0  04:44    6.6    0.0   0.00    2.4   14.8  12:24     76
 24   15.8   20.2  14:32   11.1  22:50    2.5    0.0   0.36    4.7   18.4  14:46    360
 25   12.9   23.1  15:40    5.1  07:58    5.4    0.0   0.00    3.2   20.2  02:23    314
 26   11.5   22.3  13:53    2.4  08:18    6.8    0.0   0.00    2.2   20.2  15:30     97
 27    9.6   20.1  15:12    1.5  06:56    8.7    0.0   0.00    3.9   25.6  14:42    190
 28    7.1   16.5  12:00    0.5  23:11   11.2    0.0   0.00    3.3   20.2  11:06    148
 29    4.6   14.1  14:31   -4.5  07:55   13.8    0.0   0.00    2.5   20.2  12:15    107
 30    6.4   14.7  15:38   -2.1  02:29   12.0    0.0   0.00    4.6   34.9  10:45     57
 31   13.6   18.8  15:03    9.0  04:08    4.7    0.0   0.00    5.8   23.8  15:14     73
---------------------------------------------------------------------------------------
       7.7   23.1     25   -7.0     10  330.8    0.0   0.66    3.5   36.7     19     83
