                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2024


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.1   23.0  12:00    8.4  21:42    3.2    0.0    0.0    4.2   17.9  15:37    183
 02   12.7   19.6  13:30    5.0  23:03    5.7    0.0    0.0    3.3   17.9  11:50    223
 03   13.3   24.6  14:39    2.4  06:51    5.1    0.0    0.0    1.4    9.9  10:41     76
 04   15.7   23.4  15:38    7.5  05:06    2.6    0.0    0.0    3.1   18.9  11:25     52
 05   18.9   29.8  13:12    6.7  06:22    0.0    0.6    0.0    2.1   10.9  14:36     90
 06   18.1   24.8  14:20   13.0  02:55    0.3    0.0    0.0    4.4   15.9  14:01    125
 07   18.4   22.9  10:28   15.0  23:28    0.0    0.1    0.0    2.6    9.9  08:50    106
 08   15.6   22.3  11:05   10.7  22:38    2.7    0.0    0.0    4.5   18.9  13:43    145
 09   15.9   23.2  14:02   10.0  06:53    2.4    0.0    0.0    4.2   16.9  01:55    129
 10   17.9   26.6  13:34   10.3  05:49    0.5    0.0    0.0    1.6    9.9  11:43    100
 11   19.5   29.6  14:28   10.0  02:54    0.0    1.2    0.0    3.9   16.9  13:10    238
 12   17.4   25.4  16:05   12.2  03:16    0.9    0.0    5.6    2.3   12.8  01:16     27
 13   16.3   20.8  15:27   12.7  23:58    2.0    0.0    0.0    1.3   10.9  12:40     44
 14   16.1   21.5  12:17    9.4  03:51    2.2    0.0    9.7    1.8   11.9  13:20     92
 15   19.5   27.6  17:04   12.7  06:32    0.0    1.1    0.2    2.6   13.8  12:27    182
 16   19.7   30.7  14:34    9.9  06:05    0.0    1.3    0.0    1.9   10.9  12:01    103
 17   19.2   27.2  14:32   14.6  06:54    0.0    0.9    1.5    3.3   11.9  04:08     19
 18   20.6   32.2  15:21   10.3  06:24    0.0    2.3    0.0    1.9   10.9  11:33    102
 19   21.4   30.0  12:25    9.4  06:12    0.0    3.1    0.0    2.2   15.0  14:42     42
 20   24.2   31.8  14:53   16.0  05:52    0.0    5.9    0.0    4.5   23.7  15:32     55
 21   27.4   36.7  14:34   21.0  06:16    0.0    9.0    0.0    3.2   15.9  10:18     28
 22   24.1   32.1  14:19   18.4  06:03    0.0    5.7    0.0    4.3   16.9  15:34    131
 23   19.7   22.6  16:33   17.8  23:52    0.0    1.4   42.2    3.2   13.8  10:36    124
 24   16.1   18.1  17:48   11.9  23:38    2.2    0.0    2.5    5.8   19.8  12:03    232
 25   13.9   19.7  09:26    9.1  00:00    4.4    0.0    4.1    5.0   23.7  18:24    253
 26   15.4   25.8  15:57    5.9  04:49    3.0    0.0    0.0    4.4   20.8  11:48    324
 27   19.5   28.8  14:49    9.5  06:08    0.0    1.1    0.0    2.5   20.8  15:55     14
 28   22.4   31.1  14:16   14.1  06:06    0.0    4.0    0.0    3.1   15.0  09:54     17
 29   24.0   33.1  14:50   14.8  04:20    0.0    5.7    0.0    2.4   11.9  10:50     31
 30   24.6   33.5  15:28   16.7  05:33    0.0    6.3    0.0    3.1   13.8  14:58     61
 31   23.8   31.2  13:53   18.0  05:12    0.0    5.5    0.0    2.3   15.0  08:07     87
---------------------------------------------------------------------------------------
      18.9   36.7     21    2.4     03   37.1   55.2   65.8    3.1   23.7     20     98
    
