                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2024


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   25.0   34.3  14:18   17.0  06:27    0.0    6.7    0.0    3.0   19.8  17:06     50
 02   20.1   22.9  12:50   15.2  22:55    0.0    1.8    2.0    4.8   18.9  06:08    220
 03   19.3   27.8  13:27   12.0  05:54    0.0    1.0    0.0    4.8   17.9  14:52    124
 04   18.2   22.0  00:35   12.5  23:40    0.1    0.0   30.7    3.4   25.9  08:43    143
 05   18.5   29.8  14:30   10.3  02:31    0.0    0.2    0.3    1.9   13.8  11:30    108
 06   20.1   30.9  16:49    9.0  02:47    0.0    1.8    0.0    2.3   12.8  23:27    117
 07   18.9   26.0  14:40   13.7  23:59    0.0    0.6    0.0    5.9   17.9  06:54    146
 08   19.1   29.4  16:02    8.8  06:18    0.0    0.7    0.0    1.7    8.9  00:11    102
 09   21.6   30.7  14:19   12.9  02:56    0.0    3.2    0.0    2.5   15.9  17:52     48
 10   21.9   32.4  14:32   13.4  23:56    0.0    3.6    9.9    4.2   24.9  22:33    124
 11   15.7   22.9  13:24   10.9  22:45    2.6    0.0   10.9    5.9   28.8  15:30    270
 12   19.6   25.3  16:38    9.3  00:31    0.0    1.3    0.0    4.1   21.8  14:56    323
 13   20.4   30.9  15:15    8.1  05:58    0.0    2.0    0.0    1.3    8.9  10:59    154
 14   23.2   32.5  16:12   13.6  05:06    0.0    4.9    0.0    2.8   13.8  08:36     44
 15   25.2   32.8  14:41   17.7  05:37    0.0    6.8    0.0    3.9   18.9  09:42     46
 16   27.5   37.3  13:13   17.7  05:08    0.0    9.2    0.0    2.1   15.9  22:53     84
 17   16.4   21.4  00:00   13.1  23:57    1.9    0.0    7.4    7.7   33.6  03:00    166
 18   18.1   26.9  15:04    9.2  05:43    0.2    0.0    0.0    4.3   17.9  15:35    146
 19   18.4   25.4  11:03    8.9  06:02    0.0    0.1    0.0    3.0   15.0  10:27    118
 20   21.7   29.3  14:52   13.7  05:38    0.0    3.3    0.0    3.7   13.8  09:10    107
 21   21.7   29.5  15:13   15.1  01:39    0.0    3.3    0.0    3.4   15.0  08:57     91
 22   22.1   29.9  15:04   12.1  06:00    0.0    3.8    0.0    2.8   13.8  12:18     96
 23   23.5   30.4  15:18   16.4  01:55    0.0    5.2    0.0    3.1   13.8  14:03     87
 24   25.5   33.6  15:38   17.9  00:00    0.0    7.2   11.7    4.1   19.8  12:50     57
 25   24.5   31.4  15:57   20.0  05:36    0.0    6.1    0.0    3.6   15.9  20:42    133
 26   24.3   32.9  17:15   17.1  09:40    0.0    6.0   10.9    2.6   24.9  09:24    124
 27   21.3   28.6  16:41   17.1  22:44    0.0    3.0   11.5    3.3   28.8  10:23    140
 28   22.6   30.8  16:56   14.6  04:10    0.0    4.2    0.0    2.6   16.9  11:19    100
 29   21.8   29.4  15:30   14.3  23:53    0.0    3.4    1.0    4.0   23.7  02:01    185
 30   21.1   30.1  13:08   11.6  03:18    0.0    2.8    0.5    2.4   11.9  13:37     94
---------------------------------------------------------------------------------------
      21.3   37.3     16    8.1     13    4.8   92.1   96.8    3.5   33.6     17    116
    
