                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2024


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.9   24.0  16:45   14.8  22:18    0.0    0.6   22.4    6.2   32.7  13:55    230
 02   17.0   23.8  15:12   10.6  05:44    1.4    0.0    0.0    6.1   24.9  21:44    248
 03   16.0   26.6  14:19    5.3  05:09    2.3    0.0    0.0    2.2   15.0  00:13    242
 04   20.7   29.9  15:50   11.1  05:33    0.0    2.3    0.0    3.9   19.8  16:29     21
 05   24.2   33.9  14:23   14.3  05:43    0.0    5.9    0.0    4.1   20.8  22:12     54
 06   21.8   30.7  13:39   15.2  23:56    0.0    3.5   10.9    4.5   21.8  01:37    199
 07   15.3   21.6  16:22    9.2  23:22    3.0    0.0    0.0    4.9   18.9  15:18    185
 08   16.3   25.7  14:45    5.0  05:27    2.0    0.0    0.0    2.2   15.0  13:13    139
 09   19.1   30.7  16:38    7.9  05:10    0.0    0.7    0.0    1.2    9.9  12:51     54
 10   22.6   33.5  14:44   11.4  05:51    0.0    4.3    0.0    1.8   11.9  16:13     26
 11   24.2   31.9  14:53   14.9  05:21    0.0    5.9    0.0    2.9   15.9  11:37     59
 12   26.0   34.7  14:30   20.2  05:43    0.0    7.7    0.0    3.9   16.9  11:09     60
 13   23.1   31.6  15:13   16.1  23:28    0.0    4.7    0.0    5.3   18.9  17:49    172
 14   21.9   29.7  15:25   13.1  05:06    0.0    3.6    0.0    5.5   24.9  14:43    173
 15   20.9   28.7  15:28   15.3  01:58    0.0    2.5    0.0    4.7   18.9  14:53    166
 16   19.9   29.5  16:49    9.1  05:20    0.0    1.6    0.0    2.8   15.9  12:26    146
 17   22.9   31.7  13:47   13.4  05:54    0.0    4.6    0.0    2.9   13.8  11:38     89
 18   24.2   32.6  15:08   16.2  03:22    0.0    5.8    0.0    3.0   15.0  15:17     41
 19   24.4   32.0  16:07   18.3  06:00    0.0    6.1    1.3    2.0    9.9  16:25     38
 20   23.8   31.7  15:24   18.1  23:54    0.0    5.5    0.8    6.2   22.7  09:11    270
 21   19.3   28.1  16:23   12.8  05:48    0.0    0.9    0.0    2.6   18.9  00:45    121
 22   21.6   31.5  16:12   11.5  05:58    0.0    3.2    0.0    3.5   17.9  14:43     11
 23   24.2   33.3  16:05   15.7  05:57    0.0    5.9    0.0    4.6   19.8  22:45     26
 24   19.8   27.0  15:35   15.1  05:38    0.0    1.4   12.7    5.7   28.8  03:58    223
 25   16.5   20.8  18:49   12.5  04:47    1.9    0.0    0.0    4.8   15.9  15:55    199
 26   19.8   28.5  17:13   12.2  05:48    0.0    1.5    0.0    3.9   15.0  14:27    175
 27   22.1   30.7  16:34   12.8  05:28    0.0    3.7    0.0    2.8   17.9  14:24    173
 28   23.4   32.9  15:24   13.5  04:04    0.0    5.1    0.0    2.6   18.9  14:16    132
 29   22.7   32.5  15:14   11.7  04:46    0.0    4.4    0.0    2.2   11.9  18:30     96
 30   24.0   33.6  15:20   15.7  05:56    0.0    5.7    0.0    3.0   12.8  07:50     85
 31   26.4   37.2  13:59   19.2  03:58    0.0    8.0    0.0    2.5   12.8  08:24     58
---------------------------------------------------------------------------------------
      21.4   37.2     31    5.0     08   10.7  105.1   48.1    3.7   32.7     01    148
    
