                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2026


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   24.3   29.9  16:41   20.9  12:29    0.0    6.0   42.4    2.5   18.9  12:12    165
 02   22.7   28.6  10:50   19.7  23:59    0.0    4.4    0.0    1.3    8.0  12:03    206
 03   23.3   34.0  16:21   17.1  23:47    0.0    5.0   56.7    2.3   33.6  20:15    274
 04   15.8   20.1  14:18   10.1  23:48    2.5    0.0    0.0    7.0   19.8  04:13    188
 05   14.0   22.0  13:44    6.5  05:07    4.3    0.0    0.0    2.4   10.9  09:28    169
 06   15.5   18.2  11:35   12.8  05:23    2.8    0.0   27.7    3.0   13.8  12:47    172
 07   17.4   18.3  13:22   16.5  23:47    0.9    0.0    6.6    8.4   22.7  21:19    235
 08   17.3   22.3  14:54   14.1  21:20    1.1    0.0    0.0    6.3   19.8  00:42    251
 09   14.8   23.1  14:31    8.8  07:34    3.6    0.0    0.2    1.5   11.9  16:37    240
 10   15.9   26.8  15:46    6.8  06:05    2.4    0.0    0.0    0.8    9.9  12:37     74
 11   17.6   26.2  15:37   10.0  05:51    0.7    0.0    0.0    1.6    9.9  10:01    120
 12   18.1   28.3  14:32   10.6  06:44    0.3    0.0    0.0    0.7    8.0  11:44    196
 13   17.8   28.1  13:44    9.9  05:45    0.5    0.0    0.0    1.3   10.9  14:56    135
 14   21.3   27.8  12:52   16.6  00:53    0.0    3.0    0.0    2.4   11.9  12:33    124
 15   20.4   21.9  14:33   19.1  02:05    0.0    2.0   11.2    2.9   12.8  06:41    186
 16   21.0   26.8  14:39   16.7  23:08    0.0    2.7    0.2    4.2   16.9  13:31    218
 17   19.0   24.4  12:58   15.8  23:58    0.0    0.7    0.0    3.7   12.8  05:18    268
 18   20.5   30.2  15:47   12.9  03:14    0.0    2.2    0.0    1.4   11.9  11:59     26
 19   20.5   28.6  12:57   15.5  07:45    0.0    2.2    0.5    1.3    9.9  23:03    196
 20   18.1   21.7  14:31   16.7  10:31    0.3    0.0    1.8    5.1   23.7  11:11    178
 21   18.6   27.2  15:51   12.3  23:59    0.0    0.3    3.0    3.4   16.9  18:32    283
 22   14.1   21.1  15:36    9.7  05:03    4.2    0.0    0.0    3.8   15.9  11:00    305
 23   16.4   28.8  16:14    7.3  06:18    1.9    0.0    0.0    0.4    7.0  14:05    119
 24   16.5   28.7  16:18    7.3  07:16    1.8    0.0    0.0    0.5    6.0  11:23    100
 25   15.3   24.9  13:28    8.6  05:20    3.0    0.0    0.0    1.3    9.9  14:52    290
 26   12.3   18.2  13:26    8.4  23:53    6.0    0.0    0.0    7.6   30.7  12:58    320
 27    9.8   17.1  15:33    4.0  23:59    8.5    0.0    0.0    5.9   20.8  09:24    312
 28   13.3   21.5  16:30    3.5  00:17    5.1    0.0    0.0    3.1   15.9  11:51     28
 29   15.3   23.5  15:17    7.1  23:55    3.0    0.0    0.0    4.8   26.8  11:50      1
 30   14.3   25.2  15:28    3.4  06:14    4.1    0.0    0.0    1.5   12.8  13:09     96
---------------------------------------------------------------------------------------
      17.4   34.0     03    3.4     30   57.0   28.4  150.3    3.1   33.6     03    235
    
