                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2026


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.7   26.7  15:02   12.8  01:05    0.0    0.3    0.0    3.3   18.9  19:12    278
 02   10.3   15.4  14:45    1.6  23:52    8.0    0.0    0.0    6.3   24.9  11:11    262
 03    9.3   18.9  15:01   -0.6  05:30    9.1    0.0    0.0    2.2   12.8  10:24     82
 04   15.2   23.7  15:41    9.9  07:57    3.1    0.0    0.0    2.6   15.9  11:52     41
 05   18.0   26.1  13:59   10.2  04:50    0.3    0.0    0.0    1.2    9.9  13:45    128
 06   23.3   29.7  15:22   18.5  07:05    0.0    4.9   14.7    3.7   22.7  23:46    101
 07   14.5   20.5  00:00    9.7  23:39    3.9    0.0   72.4    6.6   20.8  15:10    315
 08    9.4   13.5  14:36    5.9  23:46    8.9    0.0    0.0    8.8   30.7  15:15    328
 09    8.8   13.4  15:35    5.0  03:28    9.5    0.0    1.2    8.3   23.7  13:17    310
 10    8.5   16.2  15:14    2.7  07:20    9.8    0.0    0.0    4.8   22.7  12:40    344
 11   10.1   19.1  15:37    0.3  07:28    8.2    0.0    0.0    2.7   15.9  14:50     13
 12   14.1   23.5  15:01    7.5  07:42    4.2    0.0    0.0    5.0   17.9  10:15    351
 13    9.6   16.6  12:37    3.0  07:27    8.7    0.0    0.0    1.4   11.9  12:45    236
 14   10.5   17.3  16:02    4.9  23:34    7.8    0.0    0.0    1.5   10.9  15:15    243
 15   10.8   19.8  15:16    3.4  06:50    7.6    0.0    0.3    1.3    9.9  09:39     72
 16   11.0   13.5  16:00    7.7  08:00    7.4    0.0    0.2    2.7   15.9  20:39    217
 17    8.2   13.9  14:59    1.9  23:16   10.2    0.0    0.8    4.2   15.0  13:53    232
 18    7.4   16.5  15:41    1.0  07:44   10.9    0.0    0.0    1.5   12.8  13:44    348
 19    9.8   18.3  14:57    3.0  01:30    8.5    0.0    0.0    2.4   13.8  14:31      1
 20    8.6   14.8  13:29    1.8  06:11    9.7    0.0    0.0    2.6   15.0  12:44    238
 21    6.5   13.3  15:16    0.3  08:06   11.8    0.0    0.0    1.5   11.9  13:28    204
 22    5.9   15.6  15:29   -1.4  04:05   12.5    0.0    0.0    0.7    8.0  10:33    136
 23    9.6   17.1  12:53    3.1  00:00    8.8    0.0    0.0    1.0    8.9  14:15    146
 24    8.3   16.7  14:36    1.8  04:10   10.1    0.0    0.0    1.0    8.9  11:00    124
 25    9.8   20.3  16:11    4.7  04:08    8.5    0.0    0.5    0.6    6.0  13:42    209
 26    7.5   12.1  15:19    1.5  07:05   10.9    0.0    0.5    1.2    7.0  13:58    193
 27   11.4   14.3  16:50    8.9  08:03    6.9    0.0    0.0    1.6    8.0  02:07    123
 28   13.1   16.5  14:11    8.7  06:55    5.3    0.0    0.0    2.2   12.8  10:56    149
 29   12.4   18.2  13:07    6.6  23:59    6.0    0.0    0.0    2.0    9.9  06:15    173
 30    8.9   19.0  14:13    1.6  08:06    9.4    0.0    0.0    0.7   11.9  12:10    231
 31    9.7   19.9  14:35    1.5  06:33    8.6    0.0    0.3    0.6    8.0  12:29     28
---------------------------------------------------------------------------------------
      10.9   29.7     06   -1.4     22  234.7    5.3   90.9    2.8   30.7     08    307
    
