                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2026


NAME: Hangar 57 - GEZ                  
ELEV: 17 meters    LAT: 34-40.95 S    LONG: 059-01.99 W


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.0   16.9  14:11    7.0  00:51    6.4    0.0    0.0    1.5    8.9  17:44    155
 02   11.0   17.8  13:59    4.9  06:18    7.4    0.0    0.0    1.3    8.9  12:53    140
 03   13.9   20.4  13:31    8.8  00:00    4.5    0.0    0.2    2.0   10.9  10:32    139
 04   14.7   19.5  12:44   11.3  02:09    3.6    0.0    0.3    1.6    8.9  12:22    164
 05   15.2   20.2  15:40   12.6  06:13    3.1    0.0    0.8    1.0    8.9  15:19    171
 06   13.7   16.3  16:20   10.1  05:29    4.7    0.0    0.3    1.5    8.0  11:52    226
 07   14.6   18.1  13:09   12.4  00:00    3.8    0.0    6.8    3.2   13.8  19:57    188
 08   10.8   12.4  00:00    9.5  21:49    7.6    0.0   82.6    4.0   13.8  09:34    199
 09   11.0   16.7  14:39    6.1  04:11    7.3    0.0    0.0    1.0    9.9  22:21    134
 10   12.3   15.2  13:49   10.3  05:35    6.0    0.0    0.0    1.1    7.0  12:30    108
 11   11.2   19.0  14:59    6.5  07:49    7.1    0.0    0.0    0.5    6.0  12:38    306
 12    9.2   17.8  15:05    2.6  06:35    9.1    0.0    0.3    1.2    9.9  15:25     96
 13    9.4   15.9  13:05    6.0  05:01    8.9    0.0    3.8    3.5   22.7  18:43    262
 14    4.9   11.4  15:31   -1.2  08:16   13.5    0.0    0.2    2.6   11.9  13:55    298
 15    6.9   14.4  14:41   -1.2  05:49   11.5    0.0    0.0    2.9   13.8  13:53     41
 16   11.0   20.0  15:00    5.7  23:48    7.4    0.0    0.0    3.9   15.9  15:44     22
 17    9.6   17.3  14:23    2.6  08:05    8.8    0.0    0.0    2.8   13.8  10:57    178
 18    9.3   11.5  11:43    7.0  06:33    9.0    0.0   33.5    2.9    9.9  00:54    155
 19    9.4   15.1  15:30    3.4  23:35    9.0    0.0    0.3    4.9   18.9  06:03    303
 20    8.5   16.1  14:27    2.2  01:15    9.9    0.0    0.0    1.7   11.9  16:05    106
 21   10.4   16.6  13:20    5.8  22:58    7.9    0.0    0.0    1.3    9.9  05:04     83
 22    7.5   12.1  14:45    4.1  23:32   10.8    0.0    0.0    4.6   17.9  12:34    320
 23    6.4   13.5  14:40    1.9  08:20   12.0    0.0    0.0    3.6   19.8  13:28    353
 24    6.7   11.7  12:12    2.3  08:08   11.6    0.0    0.0    1.9   12.8  13:43     25
 25    7.7   12.1  14:21    1.3  23:50   10.7    0.0    0.0    3.8   17.9  15:03    352
 26    6.6   15.3  15:20   -2.4  06:55   11.8    0.0    0.0    1.8   11.9  11:11    135
 27   11.3   20.7  14:18    4.7  06:38    7.0    0.0    0.0    1.4    7.0  10:09    127
 28    8.4   14.4  15:07    2.2  23:57    9.9    0.0    0.0    2.7   13.8  14:01    277
 29    7.4   15.2  15:12    1.9  23:07   10.9    0.0    0.0    1.6   11.9  15:37    347
 30   -0.1    2.0  00:05   -1.9  07:48   18.5    0.0    0.0    0.1    2.9  03:06    169
---------------------------------------------------------------------------------------
       9.9   20.7     27   -2.4     26  259.4    0.0  129.1    2.3   22.7     13    275
    
